Country,Co2 emissions
1990,32523.58
1991,32670.51
1992,32588.09
1993,32729.06
1994,33015.04
1995,33805.61
1996,34179.33
1997,35537.18
1998,35099.21
1999,35101.9
2000,35835.48
2001,35884.07
2002,36839.69
2003,37803.86
2004,39655.31
2005,40569.33
2006,42072.13
2007,42858.96
2008,43139.1
2009,43089.45
2010,44877.51
2011,45041.81
2012,45597.14
2013,46238.61
2014,46881.78
2015,46871.77
2016,47531.68
2017,48251.88
2018,49368.04
2019,49758.23
